Date,Close
26-Dec-2018,10729.85
27-Dec-2018,10779.8
28-Dec-2018,10859.9
31-Dec-2018,10862.55
1-Jan-2019,10910.1
2-Jan-2019,10792.5
3-Jan-2019,10672.25
4-Jan-2019,10727.35
7-Jan-2019,10771.8
8-Jan-2019,10802.15
9-Jan-2019,10855.15
10-Jan-2019,10821.6
11-Jan-2019,10794.95
14-Jan-2019,10737.6
15-Jan-2019,10886.8
16-Jan-2019,10890.3
17-Jan-2019,10905.2
18-Jan-2019,10906.95
21-Jan-2019,10961.85
22-Jan-2019,10922.75
23-Jan-2019,10831.5
24-Jan-2019,10849.8
25-Jan-2019,10780.55
28-Jan-2019,10661.55
29-Jan-2019,10652.2
30-Jan-2019,10651.8
31-Jan-2019,10830.95
1-Feb-2019,10893.65
4-Feb-2019,10912.25
5-Feb-2019,10934.35
6-Feb-2019,11062.45
7-Feb-2019,11069.4
8-Feb-2019,10943.6
